spatial lag: 1, kernel: gaussian, min_cluster_size: 75, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.1504207582948783
spatial lag: 1, kernel: gaussian, min_cluster_size: 100, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.1974601907918327
spatial lag: 1, kernel: gaussian, min_cluster_size: 150, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.22423642798914578
spatial lag: 1, kernel: gaussian, min_cluster_size: 250, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.2619859147393664
spatial lag: 1, kernel: gaussian, min_cluster_size: 500, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.2729173755336393
spatial lag: 1, kernel: inverse, min_cluster_size: 75, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.1562380026043558
spatial lag: 1, kernel: inverse, min_cluster_size: 100, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.1846637695006557
spatial lag: 1, kernel: inverse, min_cluster_size: 150, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.22910215883368176
spatial lag: 1, kernel: inverse, min_cluster_size: 250, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.26112626138703166
spatial lag: 1, kernel: inverse, min_cluster_size: 500, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.29273070280588126
spatial lag: 1, kernel: weights, min_cluster_size: 75, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.1623324821807347
spatial lag: 1, kernel: weights, min_cluster_size: 100, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.18016593575327952
spatial lag: 1, kernel: weights, min_cluster_size: 150, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.22474605954236868
spatial lag: 1, kernel: weights, min_cluster_size: 250, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.2549185761869685
spatial lag: 1, kernel: weights, min_cluster_size: 500, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.293138573018801
spatial lag: 2, kernel: gaussian, min_cluster_size: 75, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.15336584746691992
spatial lag: 2, kernel: gaussian, min_cluster_size: 100, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.18572296491398402
spatial lag: 2, kernel: gaussian, min_cluster_size: 150, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.22228172338753918
spatial lag: 2, kernel: gaussian, min_cluster_size: 250, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.24654409362384908
spatial lag: 2, kernel: gaussian, min_cluster_size: 500, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.2820299962005355
spatial lag: 2, kernel: inverse, min_cluster_size: 75, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.15715558028021748
spatial lag: 2, kernel: inverse, min_cluster_size: 100, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.19423074100323456
spatial lag: 2, kernel: inverse, min_cluster_size: 150, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.2192026954466086
spatial lag: 2, kernel: inverse, min_cluster_size: 250, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.25924986523851773
spatial lag: 2, kernel: inverse, min_cluster_size: 500, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.2852430132070469
spatial lag: 2, kernel: weights, min_cluster_size: 75, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.15942172650133124
spatial lag: 2, kernel: weights, min_cluster_size: 100, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.1796552011836616
spatial lag: 2, kernel: weights, min_cluster_size: 150, to_drop: ['stcSAl', 'ltkOri', 'stbOri', 'stcOri', 'stbCeA'], ars: 0.2213757001285259
